"조사구 유형","가구 유형","지역","지역 (시/군 구분)","지역구분","SQ1_연령","SQ2_성별","문1_독서 범위에 대한 생각1","문1_독서 범위에 대한 생각2","문1_독서 범위에 대한 생각3","문1_독서 범위에 대한 생각4","문1_독서 범위에 대한 생각5","문1_독서 범위에 대한 생각6","문1_독서 범위에 대한 생각7","문1_독서 범위에 대한 생각8","문1_독서 범위에 대한 생각9","문1_독서 범위에 대한 생각10","문1_독서 범위에 대한 생각11","문1_독서 범위에 대한 생각12","문1_독서 범위에 대한 생각13","문1_독서 범위에 대한 생각14","문1_독서 범위에 대한 생각15","문2-1_1) 평일 여가 시간 (시간)","문2-1_1) 평일 여가 시간 (분)","문2-1_2) 휴일 여가 시간 (시간)","문2-1_2) 휴일 여가 시간 (분)","문2-2-1_1) 종이책 평일 독서 시간 (시간)","문2-2-1_1) 종이책 평일 독서 시간 (분)","문2-2-2_1) 종이책 휴일 독서 시간 (시간)","문2-2-2_1) 종이책 휴일 독서 시간 (분)","문2-2-2_2) 전자책 평일 독서 시간 (시간)","문2-2-2_2) 전자책 평일 독서 시간 (분)","문2-2-2_2) 전자책 휴일 독서 시간 (시간)","문2-2-2_2) 전자책 휴일 독서 시간 (분)","문2-2-2_3) 오디오북 평일 독서 시간 (시간)","문2-2-2_3) 오디오북 평일 독서 시간 (분)","문2-2-2_3) 오디오북 휴일 독서 시간 (시간)","문2-2-2_3) 오디오북 휴일 독서 시간 (분)","문3-1_독서 빈도","문3-2_전년 대비 독서 시간 변화","문4-1_독서 선호도","문4-2_독서 장애 요인1","문4-2_독서 장애 요인2","문5-1_독서 유용성 여부","문5-2_[독서 유용성 평가] 1) 정보 수용과 해석 능력 향상","문5-2_[독서 유용성 평가] 2) 풍부한 정서와 감성 발달","문5-2_[독서 유용성 평가] 3) 논리적, 비판적 사고 증진","문5-2_[독서 유용성 평가] 4) 전문 지식의 습득","문5-2_[독서 유용성 평가] 5) 행복감, 삶의 질 향상","문5-2_[독서 유용성 평가] 6) 창의력과 표현력 향상","문5-2_[독서 유용성 평가] 7) 원활한 의사소통","문5-2_[독서 유용성 평가] 8) 타인과의 교감, 공감 능력 향상","문5-2_[독서 유용성 평가] 9) 마음의 평안과 심리적 치유","문5-2_[독서 유용성 평가] 10) 세상에 대한 이해와 통찰력","문6_1) 종이책 독서량","문6_2) 전자책 독서량","문6_3) 오디오북 독서량","문7_본인의 독서량 평가","문8_독서 목적1","문8_독서 목적2","문9_독서 계기1","문9_독서 계기2","문10_독서 장소1","문10_독서 장소2","문11_도서 선택 시 이용 정보1","문11_도서 선택 시 이용 정보2","문12_도서 입수 경로1","문12_도서 입수 경로2","문13_[도서 선호 분야] 1) 종이책1","문13_[도서 선호 분야] 1) 종이책2","문13_[도서 선호 분야] 2) 전자책1","문13_[도서 선호 분야] 2) 전자책2","문13_[도서 선호 분야] 3) 오디오북1","문13_[도서 선호 분야] 3) 오디오북2","문14_[도서 구입처] 1) 종이책1","문14_[도서 구입처] 1) 종이책2","문14_[도서 구입처] 2) 전자책1","문14_[도서 구입처] 2) 전자책2","문14_[도서 구입처] 3) 오디오북1","문14_[도서 구입처] 3) 오디오북2","문15_[도서 구입권수] 1) 종이책","문15_[도서 구입비] 1) 종이책","문15_[도서 구입권수] 2) 전자책","문15_[도서 구입비] 2) 전자책","문15_[도서 구입권수] 3) 오디오북","문15_[도서 구입비] 3) 오디오북","문16_독서 대화","문17_독서 권장을 받은 경험","문18_직장의 독서 환경1","문18_직장의 독서 환경2","문18_직장의 독서 환경3","문18_직장의 독서 환경4","문18_직장의 독서 환경5","문18_직장의 독서 환경6","문18_직장의 독서 환경7","문18_직장의 독서 환경8","문18_직장의 독서 환경9","문19_연간 도서관 이용률","문19-1_주 이용 도서관1","문19-1_주 이용 도서관2","문19-2_도서관 이용 빈도(월 평균)","문19-2_도서관 이용 빈도(연 평균)","문19-3_도서관 이용 목적","문19-4_도서관 비이용 이유","문20_독서 활동 참여율","문20-1_참여경험 독서 활동1","문20-1_참여경험 독서 활동2","문20-1_참여경험 독서 활동3","문20-1_참여경험 독서 활동4","문20-1_참여경험 독서 활동5","문20-1_참여경험 독서 활동6","문20-2_독서 활동 참여계기","문20-3_독서 활동 비참여 이유","문20-4_참여희망 독서 활동1","문20-4_참여희망 독서 활동2","문20-4_참여희망 독서 활동3","문20-4_참여희망 독서 활동4","문20-4_참여희망 독서 활동5","문20-4_참여희망 독서 활동6","문21_독서 동아리 참여율","문21-1_참여경험 독서 동아리1","문21-1_참여경험 독서 동아리2","문21-1_참여경험 독서 동아리3","문21-1_참여경험 독서 동아리4","문21-1_참여경험 독서 동아리5","문21-1_참여경험 독서 동아리6","문21-1_참여경험 독서 동아리7","문21-1_참여경험 독서 동아리8","문21-1_참여경험 독서 동아리9","문21-2_독서 동아리 참여계기","문21-3_독서 동아리 비참여 이유","문21-4_참여희망 독서 동아리1","문21-4_참여희망 독서 동아리2","문21-4_참여희망 독서 동아리3","문21-4_참여희망 독서 동아리4","문21-4_참여희망 독서 동아리5","문21-4_참여희망 독서 동아리6","문21-4_참여희망 독서 동아리7","문21-4_참여희망 독서 동아리8","문22_[코로나19이후 독서생활 변화] 1-1) 종이책 독서 시간","문22_[코로나19이후 독서생활 변화] 1-2) 전자책 독서 시간","문22_[코로나19이후 독서생활 변화] 1-3) 웹소설 독서 시간","문22_[코로나19이후 독서생활 변화] 1-4) 오디오북 독서 시간","문22_[코로나19이후 독서생활 변화] 2) 독서량","문22_[코로나19이후 독서생활 변화] 3-1) 서점 방문 횟수","문22_[코로나19이후 독서생활 변화] 3-2) 인터넷서점 이용 횟수","문22_[코로나19이후 독서생활 변화] 4-1) 도서관 방문 횟수","문22_[코로나19이후 독서생활 변화] 4-2) 도서관의 전자도서관 이용 횟수","문22_[코로나19이후 독서생활 변화] 5) 도서 구입비","문22_[코로나19이후 독서생활 변화] 6) 전자책/웹소설/오디오북 정기구독 이용 시간","문22_[코로나19이후 독서생활 변화] 7-1) 책/독서 관련 대면 모임/활동 참여 횟수","문22_[코로나19이후 독서생활 변화] 7-2) 책/독서 관련 비대면 모임/활동 참여 횟수","문23_[전자책 등 이용기간] 전자책 (년)","문23_[전자책 등 이용기간] 전자책 (개월)","문23_[전자책 등 이용기간] 웹소설 (년)","문23_[전자책 등 이용기간] 웹소설 (개월)","문23_[전자책 등 이용기간] 오디오북 (년)","문23_[전자책 등 이용기간] 오디오북 (개월)","문24_전자책 등의 이용 기기1","문24_전자책 등의 이용 기기2","문25_[전자책 등의 이용 이유] 1) 전자책1","문25_[전자책 등의 이용 이유] 1) 전자책2","문25_[전자책 등의 이용 이유] 2) 웹소설1","문25_[전자책 등의 이용 이유] 2) 웹소설2","문25_[전자책 등의 이용 이유] 3) 오디오북1","문25_[전자책 등의 이용 이유] 3) 오디오북2","문26_전자책 등의 이용 유형1","문26_전자책 등의 이용 유형2","문27_유료구독 이용 경험","문27-1_구독 경험자가 유료구독을 하지 않는 이유","문28_각색/극화/요약한 오디오북 이용 경험","문28-1_객색/극화/요약한 오디오북 이용자의 원작 이용 경험","문29_전자책/웹소설/오디오북 개선 의견1","문29_전자책/웹소설/오디오북 개선 의견2","D1_1) 최종 학력","D1_2) 이수 여부","D2_직업","D3_가구소득","가중치"
1,1,1,1,1,22,1,1,2,3,5,6,10,11,,,,,,,,,2,0,4,0,0,30,1,0,1,0,1,0,0,0,0,0,2,2,2,1,2,2,8,8,7,8,9,8,8,7,8,8,5,9,0,4,3,2,4,9,1,4,2,4,3,1,2,14,2,14,,,6,1,1,2,,,3,6,9,7,,,3,2,,,,,,,,,,1,2,1,8,,4,,1,3,,,,,,5,,2,3,,,,,2,,,,,,,,,,,4,2,3,,,,,,,2,2,2,3,2,2,2,2,2,2,2,2,2,0,10,0,8,,,1,4,2,1,2,1,,,2,4,1,,2,,1,5,6,2,12,5,1.67335761349583
1,1,1,1,1,22,2,1,2,,,,,,,,,,,,,,3,0,6,0,0,30,0,0,0,0,0,0,0,0,0,0,2,2,2,1,7,2,9,9,8,7,8,7,8,8,7,8,10,0,0,2,2,4,2,1,1,2,5,7,1,4,5,2,,,,,2,6,,,,,4,4,,,,,2,2,,,,,,,,,,1,2,1,10,,1,,2,,,,,,,,2,1,,,,,,2,,,,,,,,,,,3,1,,,,,,,,2,3,3,3,2,3,3,2,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,6,2,12,5,1.70961848004061
1,1,1,1,1,22,2,1,2,3,4,5,6,7,9,,,,,,,,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,1,4,4,5,6,4,6,7,6,8,7,6,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,8,,,,,,,,,2,,,,,,1,2,,,,,,,,1,4,,,,,,2,,,,,,,,,,,2,4,,,,,,,,3,3,3,3,5,4,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,4,1,5,2,1.70961848004061
1,1,1,1,1,22,2,1,2,3,5,10,11,14,,,,,,,,,3,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,3,3,2,2,1,1,8,7,9,8,9,9,9,8,9,9,0,1,0,3,6,4,3,1,1,3,5,3,1,,,,2,11,,,,,1,,,,,,1,1,,,3,2,,,,,,,,,,2,,,,,,4,2,,,,,,,,2,5,,,,,,2,,,,,,,,,,,2,7,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,,,,,1,,1,2,,,,,2,,1,,2,,1,2,6,2,12,5,1.64820937662986
1,1,1,1,1,22,2,1,2,3,5,8,10,,,,,,,,,,3,0,6,0,0,30,0,30,0,30,0,30,0,0,0,0,2,2,2,2,1,2,7,8,7,7,8,8,7,7,7,8,6,6,0,3,4,3,1,6,4,3,1,4,3,1,2,7,2,7,,,1,6,1,2,,,6,10,6,8,,,2,1,,,,,,,,,,1,2,1,25,,4,,2,,,,,,,,2,4,5,,,,,2,,,,,,,,,,,5,1,2,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,,,,,4,1,1,2,,,,,2,1,1,,2,,1,2,6,2,12,6,1.64820937662986
1,1,1,1,1,23,1,1,2,3,,,,,,,,,,,,,4,0,7,0,0,20,1,0,0,0,0,0,0,0,0,0,4,4,2,2,1,2,6,8,6,4,6,6,5,7,7,6,5,0,0,4,3,4,1,6,7,6,1,4,1,3,2,5,,,,,1,2,,,,,5,10,,,,,3,2,,,,,,,,,,1,1,2,1,,4,,2,,,,,,,,4,2,3,,,,,2,,,,,,,,,,,4,1,,,,,,,,3,3,3,3,3,2,3,4,4,2,3,5,5,,,,,,,,,,,,,,,,,,,,,,,6,2,12,1,1.73570369172313
1,1,1,1,1,23,1,1,2,3,5,6,10,11,,,,,,,,,2,0,4,0,0,30,1,0,1,0,1,30,0,0,0,0,2,2,2,1,2,2,7,8,8,9,8,7,8,8,8,8,5,10,0,4,3,4,4,9,1,4,2,4,3,1,2,14,2,14,,,6,1,1,2,,,3,6,10,7,,,3,2,,,,,,,,,,1,2,1,8,,4,,1,3,,,,,,5,,2,3,,,,,2,,,,,,,,,,,4,2,3,,,,,,,2,2,2,3,2,2,2,2,2,2,2,2,2,0,10,0,8,,,1,4,2,1,2,1,,,2,4,1,,2,,1,9,6,2,12,5,1.67335761349583
1,1,1,1,1,23,1,1,2,3,6,7,8,10,11,13,,,,,,,5,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,2,1,1,10,9,10,9,8,9,8,9,8,9,0,3,0,4,3,4,6,10,1,3,8,7,3,7,,,2,3,,,,,98,,,,,,0,0,,,2,1,,,,,,,,,,1,1,2,5,,4,,2,,,,,,,,3,3,,,,,,2,,,,,,,,,,,3,1,,,,,,,,5,2,3,3,2,4,4,3,3,4,3,3,3,3,6,3,0,,,1,3,3,1,3,1,,,1,,1,,2,,9,3,6,2,12,5,1.67335761349583
1,1,1,1,1,23,2,1,2,3,5,10,,,,,,,,,,,1,30,2,30,0,30,1,0,1,0,2,0,0,0,0,0,2,2,2,1,2,2,7,8,8,7,8,9,8,7,8,8,5,7,0,4,2,3,6,1,1,4,1,3,1,2,2,11,2,10,,,6,1,2,1,,,5,6,8,4,,,4,2,,,,,,,,,,1,1,2,10,,4,,2,,,,,,,,4,2,3,,,,,2,,,,,,,,,,,4,2,,,,,,,,2,3,3,3,2,2,3,3,2,3,2,3,3,2,0,2,6,,,4,1,1,2,1,2,,,2,4,1,,2,,1,3,6,2,12,6,1.70961848004061
1,1,1,1,1,23,2,1,2,3,5,10,11,,,,,,,,,,1,30,3,0,0,30,1,0,1,0,2,0,0,0,0,0,2,2,2,1,2,2,8,7,7,8,8,7,8,8,7,7,5,8,0,4,2,4,6,1,1,4,1,2,1,3,2,11,2,11,,,6,1,2,1,,,5,7,8,5,,,4,2,,,,,,,,,,1,1,2,12,,4,,2,,,,,,,,4,2,3,,,,,2,,,,,,,,,,,4,2,,,,,,,,2,2,2,3,2,2,2,2,2,2,2,3,3,2,10,2,8,,,4,1,1,2,1,2,,,2,4,1,,2,,1,3,6,2,12,6,1.70961848004061
1,1,1,1,1,24,1,1,2,3,4,5,,,,,,,,,,,3,30,5,0,0,20,0,0,0,30,0,0,0,0,0,0,2,2,3,1,2,2,9,8,8,10,7,6,9,7,8,9,5,2,0,4,3,4,4,5,7,1,7,4,1,3,7,2,9,2,,,6,3,1,5,,,2,3,2,0.5,,,3,1,,,,,,,,,,1,2,4,5,,3,,2,,,,,,,,2,1,2,,,,,2,,,,,,,,,,,2,4,,,,,,,,2,3,3,3,3,3,3,3,3,4,3,3,3,1,0,1,5,,,1,4,2,8,10,12,,,1,2,3,4,2,,3,1,6,2,12,8,1.67335761349583
1,1,1,1,1,24,1,1,2,3,5,8,10,11,12,,,,,,,,5,0,6,0,0,30,1,0,1,0,1,0,0,0,0,0,2,2,2,1,2,2,7,8,8,7,8,8,8,7,8,8,5,5,0,3,4,3,1,3,1,3,6,7,2,5,6,12,6,12,,,98,,98,,,,0,0,0,0,,,3,2,8,,,,,,,,,2,,,,,,3,2,,,,,,,,2,2,3,,,,,2,,,,,,,,,,,2,2,,,,,,,,2,2,2,3,3,3,3,3,2,3,3,3,3,1,0,1,0,,,1,4,3,2,3,2,,,1,,1,,2,,1,2,4,1,3,6,1.73570369172313
1,1,1,1,1,24,2,1,2,3,4,5,6,8,9,10,11,13,,,,,4,0,8,0,0,15,0,20,0,20,0,20,0,0,0,0,2,2,2,2,5,2,9,8,9,10,9,8,8,9,9,9,5,10,0,3,4,6,4,3,3,5,7,5,1,5,3,2,2,10,,,1,5,7,4,,,3,5,4,4,,,3,1,7,,,,,,,,,1,1,,,1,3,,2,,,,,,,,4,2,,,,,,2,,,,,,,,,,,3,5,,,,,,,,2,2,2,3,2,4,3,4,3,2,2,3,3,4,0,3,5,,,4,1,4,7,10,7,,,2,4,2,4,2,,4,1,6,1,3,8,1.70961848004061
1,1,1,1,1,25,1,1,2,,,,,,,,,,,,,,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,4,5,3,11,5,2,6,6,7,9,6,7,4,6,7,7,3,0,0,5,5,4,2,6,1,3,7,4,1,4,13,14,,,,,2,1,,,,,6,10,,,,,4,3,,,,,,,,,,2,,,,,,1,2,,,,,,,,5,6,,,,,,2,,,,,,,,,,,3,4,,,,,,,,3,3,3,3,3,4,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,7,2,12,8,1.67335761349583
1,1,1,1,1,25,1,1,2,3,,,,,,,,,,,,,3,0,6,0,0,0,0,30,0,0,0,0,0,0,0,0,4,4,3,1,2,2,8,5,6,4,3,7,5,6,7,7,5,0,0,4,3,5,1,3,1,6,4,1,1,3,2,5,,,,,1,6,,,,,5,7,,,,,4,2,,,,,,,,,,1,1,4,1,,4,,2,,,,,,,,4,3,,,,,,2,,,,,,,,,,,4,5,,,,,,,,3,3,3,3,3,3,3,4,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,6,2,12,2,1.73570369172313
1,1,1,1,1,25,1,1,2,3,5,,,,,,,,,,,,3,0,6,0,0,0,0,0,0,0,1,0,0,0,2,0,3,2,2,1,3,2,9,8,7,6,7,8,9,8,8,8,0,6,3,3,4,5,1,6,1,3,1,7,1,2,,,2,6,2,6,,,1,2,98,,,,4,2,0,0,3,2,8,,,,,,,,,2,,,,,,3,2,,,,,,,,3,6,,,,,,2,,,,,,,,,,,3,5,7,,,,,,,4,2,2,2,3,4,3,4,3,3,3,3,3,3,2,3,2,3,2,3,4,2,8,2,8,2,8,1,2,4,,2,,1,2,6,1,3,6,1.73570369172313
1,1,1,1,1,25,1,1,2,3,8,10,11,,,,,,,,,,3,0,5,0,0,0,1,0,1,0,2,0,0,0,0,0,2,2,2,2,1,2,8,8,7,8,6,8,8,7,8,7,14,50,0,3,3,4,1,6,1,3,6,7,5,3,3,10,2,3,,,98,,98,,,,0,0,0,0,,,3,2,,,,,,,,,,1,1,,1,,1,,2,,,,,,,,3,1,4,,,,,2,,,,,,,,,,,3,1,2,,,,,,,3,2,3,3,3,3,3,2,2,3,3,3,3,0,8,0,8,,,1,4,2,8,7,1,,,1,4,1,,2,,6,1,4,1,14,6,1.73570369172313
1,1,1,1,1,25,2,1,2,3,,,,,,,,,,,,,3,0,6,0,0,20,1,0,0,30,0,30,0,0,0,0,3,2,2,1,12,1,5,6,4,5,7,6,5,7,6,6,10,2,3,3,3,6,6,9,1,6,1,4,1,3,2,5,2,14,2,7,6,1,7,1,7,1,5,9,2,1,3,1,2,2,,,,,,,,,,1,3,1,,2,1,,2,,,,,,,,4,3,4,,,,,2,,,,,,,,,,,4,4,,,,,,,,3,3,3,4,3,4,2,4,3,3,2,3,3,5,0,1,0,0,7,4,1,3,2,3,2,8,12,1,3,4,,2,,1,2,7,2,12,2,1.70961848004061
1,1,1,1,1,26,1,1,2,3,5,6,7,9,10,11,14,,,,,,2,0,2,0,0,0,0,0,0,30,0,30,0,0,0,0,2,3,2,1,11,2,7,8,9,8,7,8,9,9,9,7,0,5,0,2,6,3,3,1,1,3,1,4,1,,,,6,2,,,,,3,,,,,,10,10,,,3,2,8,,,,,,,,,2,,,,,,4,2,,,,,,,,4,3,,,,,,2,,,,,,,,,,,2,5,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,,,,,1,,1,2,,,,,2,,1,,2,,1,2,6,1,3,6,1.73570369172313
1,1,1,1,1,26,1,1,2,5,6,7,,,,,,,,,,,5,0,7,0,2,0,1,0,0,0,0,0,2,0,3,0,2,2,4,5,11,2,8,8,7,9,7,5,5,6,8,7,40,0,10,3,4,3,1,6,1,7,4,10,2,1,3,14,,,3,14,3,5,,,3,5,4,4,,,10,10,3,2,,,,,,,,,,2,,,,,,4,2,,,,,,,,3,6,,,,,,2,,,,,,,,,,,5,5,,,,,,,,2,3,3,2,3,2,2,3,3,3,3,3,3,,,,,3,4,3,4,,,,,2,7,1,2,1,,2,,2,4,6,1,14,8,1.67335761349583
1,1,1,1,1,26,2,1,2,3,5,6,8,9,,,,,,,,,4,0,8,0,0,0,0,0,0,30,0,30,0,0,0,0,4,2,2,3,2,1,10,9,8,9,8,9,9,8,9,10,0,2,0,5,3,8,4,1,3,2,4,11,8,2,,,5,9,,,,,98,,,,,,0,0,,,4,1,8,,,,,,,,,2,,,,,,7,2,,,,,,,,4,3,5,,,,,2,,,,,,,,,,,3,2,,,,,,,,3,2,3,3,2,3,3,3,3,3,3,3,3,,,5,6,,,1,,,,3,2,,,1,,1,,2,,5,2,5,1,3,6,1.70961848004061
1,1,1,1,1,27,1,1,2,,,,,,,,,,,,,,4,0,8,0,0,0,0,0,1,0,2,0,0,0,0,0,1,3,3,1,2,2,9,9,9,8,8,9,9,8,9,8,0,4,0,4,5,6,5,4,1,3,10,11,1,2,,,2,12,,,,,1,5,,,,,4,8,,,5,1,1,2,,,,,,,,2,,,,,,3,2,,,,,,,,2,1,,,,,,2,,,,,,,,,,,2,2,5,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,,,2,0,,,1,4,,,10,13,,,2,1,1,,2,,6,1,6,1,3,6,1.67335761349583
1,1,1,1,1,27,1,1,2,3,4,5,6,7,8,9,13,14,,,,,5,0,5,0,0,30,0,20,0,0,1,0,0,0,0,0,3,3,4,1,6,3,4,5,6,7,7,6,4,5,8,7,4,5,0,2,6,3,1,4,6,1,11,4,5,1,3,13,4,2,,,6,1,1,4,,,5,10,4,2,,,5,1,8,,,,,,,,,1,1,,1,,1,,2,,,,,,,,2,2,3,,,,,2,,,,,,,,,,,5,3,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,8,,,1,4,11,1,2,8,,,2,,1,,1,2,2,5,4,1,8,6,1.73570369172313
1,1,1,1,1,27,1,1,2,3,5,,,,,,,,,,,,2,30,5,0,0,0,0,0,2,0,1,0,0,0,0,0,2,2,3,2,3,2,7,9,8,8,7,10,8,7,9,8,0,10,0,2,4,2,2,1,1,7,10,11,1,2,,,12,2,,,,,1,4,,,,,10,8,,,3,2,8,,,,,,,,,2,,,,,,2,2,,,,,,,,2,2,,,,,,2,,,,,,,,,,,4,6,,,,,,,,3,2,2,3,2,3,3,3,3,2,2,3,3,0,8,0,6,,,4,5,2,8,8,10,,,1,2,4,,2,,2,4,5,1,3,8,1.73570369172313
1,1,1,1,1,27,1,1,2,3,5,,,,,,,,,,,,4,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,3,3,3,1,11,2,8,9,7,8,7,9,9,8,8,8,5,5,0,4,1,4,1,6,1,3,8,7,2,1,14,12,2,12,,,6,1,2,1,,,5,6,3,3,,,3,2,2,,,,,,,,,2,,,,,,3,2,,,,,,,,5,6,,,,,,2,,,,,,,,,,,5,5,,,,,,,,3,3,2,3,3,4,3,3,3,4,3,3,3,3,6,2,0,,,3,4,2,8,7,3,,,1,2,1,,2,,4,8,6,1,3,8,1.67335761349583
1,1,1,1,1,27,1,1,2,6,15,,,,,,,,,,,,6,0,6,0,0,30,0,30,0,0,0,0,0,0,0,0,2,3,2,2,1,1,9,8,8,10,10,10,10,10,10,10,5,0,0,4,4,2,6,1,1,6,6,2,1,5,6,13,,,,,6,1,,,,,4,12,,,,,4,1,,,,,,,,,,1,1,2,,5,4,,2,,,,,,,,4,1,2,,,,,2,,,,,,,,,,,4,1,5,,,,,,,2,3,3,3,2,2,2,2,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,6,2,12,8,1.67335761349583
1,1,1,1,1,27,2,1,2,3,4,5,6,7,9,10,11,13,14,,,,4,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,2,4,3,1,2,3,8,9,10,10,9,8,8,9,8,9,2,0,0,2,4,6,1,6,7,6,4,7,1,2,3,13,,,,,1,6,,,,,3,6,,,,,2,1,8,,,,,,,,,2,,,,,,3,2,,,,,,,,2,6,,,,,,2,,,,,,,,,,,5,7,,,,,,,,3,3,3,3,3,4,4,5,5,3,3,5,5,,,,,,,,,,,,,,,,,,,,,,,6,1,3,8,1.70961848004061
1,1,1,1,1,27,2,1,2,3,5,8,10,13,14,,,,,,,,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,5,4,2,9,9,9,8,8,7,7,8,7,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,8,,,,,,,,,2,,,,,,1,2,,,,,,,,2,3,4,,,,,2,,,,,,,,,,,2,5,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,6,1,3,6,1.64820937662986
1,1,1,1,1,28,1,1,2,,,,,,,,,,,,,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,1,12,3,6,6,7,4,6,5,8,6,7,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,1,1,4,2,,4,,2,,,,,,,,1,5,,,,,,2,,,,,,,,,,,1,2,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,6,1,14,1,1.73570369172313
1,1,1,1,1,28,1,1,2,3,,,,,,,,,,,,,4,0,7,0,0,0,0,0,0,0,0,30,0,0,0,0,2,3,3,7,1,3,5,6,5,6,5,6,5,5,6,6,0,7,0,3,5,6,5,4,1,3,3,4,1,7,,,2,14,,,,,1,3,,,,,4,5,,,3,2,1,,,,,,,,,2,,,,,,3,2,,,,,,,,3,4,5,,,,,2,,,,,,,,,,,2,6,,,,,,,,3,2,2,3,2,3,3,3,3,2,3,3,3,3,3,1,2,,,1,4,2,4,6,9,,,1,2,1,,2,,3,4,6,1,3,6,1.73570369172313
1,1,1,1,1,28,1,1,2,3,5,7,11,,,,,,,,,,1,30,2,0,0,30,1,0,1,0,2,0,0,30,0,20,2,2,2,1,2,2,7,6,7,8,8,8,7,8,8,7,4,4,2,4,3,4,1,4,1,5,1,4,1,3,2,11,2,11,2,4,1,6,1,2,6,1,4,3,4,2,2,1,3,1,2,3,,,,,,,,1,1,3,8,,1,,2,,,,,,,,4,2,3,,,,,2,,,,,,,,,,,4,2,,,,,,,,3,3,3,2,2,3,3,3,2,2,2,3,3,2,6,2,4,0,3,4,1,1,2,1,2,2,3,4,2,2,2,1,1,3,1,6,1,3,6,1.73570369172313
1,1,1,1,1,28,1,1,2,3,5,8,10,,,,,,,,,,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,1,2,4,3,4,3,5,3,5,4,4,4,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,8,,,,,,,,,2,,,,,,1,2,,,,,,,,1,4,,,,,,2,,,,,,,,,,,1,5,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,4,1,4,6,1.73570369172313
1,1,1,1,1,28,2,1,2,,,,,,,,,,,,,,2,0,8,0,0,30,0,30,0,0,0,0,0,0,0,0,3,2,2,1,2,2,8,6,9,9,9,9,9,6,8,9,10,0,0,3,3,4,1,5,1,3,1,7,3,1,2,3,,,,,1,2,,,,,2,3,,,,,2,2,8,,,,,,,,,1,1,,1,,1,,2,,,,,,,,3,2,3,,,,,2,,,,,,,,,,,3,1,4,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,5,1,3,3,1.64820937662986
1,1,1,1,1,28,2,1,2,3,5,,,,,,,,,,,,2,0,6,0,0,20,0,30,0,30,1,0,0,0,0,0,2,3,3,2,11,2,8,8,8,8,9,9,8,9,8,8,4,6,0,3,4,6,6,1,2,3,5,8,7,1,10,12,10,11,,,1,3,3,5,,,2,3,10,3,,,3,3,2,,,,,,,,,2,,,,,,4,2,,,,,,,,2,3,5,,,,,2,,,,,,,,,,,2,2,5,,,,,,,4,3,3,3,3,4,3,4,3,4,3,3,3,3,0,3,0,,,1,4,8,3,10,8,,,1,2,4,,2,,1,4,5,1,4,6,1.70961848004061
1,1,1,1,1,28,2,1,2,3,5,6,7,8,10,11,,,,,,,2,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,1,9,9,9,10,9,9,8,9,9,10,10,0,0,2,3,6,1,6,1,6,5,7,1,2,2,5,,,,,2,6,,,,,5,12,,,,,4,1,8,,,,,,,,,2,,,,,,4,2,,,,,,,,4,3,4,,,,,2,,,,,,,,,,,4,2,,,,,,,,2,3,3,3,2,2,2,3,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,5,1,4,6,1.70961848004061
