"지역","지역구분","연령","성별","1)평일여가시간(시간)","1)평일여가시간(분)","2)주말여가시간(시간)","2)주말여가시간(분)","1)평일독서시간(시간)","1)평일독서시간(분)","2)주말독서시간(시간)","2)주말독서시간(분)","평소책을읽는빈도","전년대비독서시간변화","독서장애요인1","독서장애요인2","독서유용성평가","1)종이책연간독서량","2)전자책연간독서량","본인의독서량평가","독서목적1","독서목적2","독서의계기및기회1","독서의계기및기회2","독서장소1","독서장소2","도서선택시이용정보1","도서선택시이용정보2","도서입수경로1","도서입수경로2","1)종이책도서선호분야1","1)종이책도서선호분야2","1)종이책도서선호분야3","2)전자책도서선호분야1","2)전자책도서선호분야2","2)전자책도서선호분야3","1)종이책도서구입처1","1)종이책도서구입처2","2)전자책도서구입처1","2)전자책도서구입처2","1)종이책연간구입권수","1)종이책연간구입비","2)전자책연간구입권수","2)전자책연간구입비","독서대화","독서권장을받은경험","직장의독서환경1","직장의독서환경2","직장의독서환경3","직장의독서환경4","직장의독서환경5","직장의독서환경6","직장의독서환경7","직장의독서환경8","직장의독서환경9","공공도서관이용경험","주로이용하는공공도서관의종류","공공도서관이용빈도(월)","공공도서관이용빈도(연)","공공도서관이용목적","공공도서관비이용이유","독서프로그램참여경험","참여해본독서프로그램1","참여해본독서프로그램2","참여해본독서프로그램3","참여해본독서프로그램4","참여해본독서프로그램5","참여해본독서프로그램6","독서프로그램참여계기","독서프로그램비참여이유","참여희망독서프로그램1","참여희망독서프로그램2","참여희망독서프로그램3","참여희망독서프로그램4","참여희망독서프로그램5","참여희망독서프로그램6","독서동아리참여경험","참여경험이있는독서동아리1","참여경험이있는독서동아리2","참여경험이있는독서동아리3","참여경험이있는독서동아리4","참여경험이있는독서동아리5","참여경험이있는독서동아리6","독서동아리참여계기","독서동아리비참여이유","참여희망독서동아리1","참여희망독서동아리2","참여희망독서동아리3","참여희망독서동아리4","참여희망독서동아리5","참여희망독서동아리6","1)독서활성화방안(독서환경)1","1)독서활성화방안(독서환경)2","2)독서활성화방안(독서문화)1","2)독서활성화방안(독서문화)2","3)독서활성화방안(독서운동)1","3)독서활성화방안(독서운동)2","4)독서활성화방안(독서복지)1","4)독서활성화방안(독서복지)2","도서구입비세제혜택인지도","도서구입비세제혜택의도움정도","1)본인교육정도최종학력","본인직업","가구월평균소득","가중치"
15,2,48,1,1,20,3,30,0,0,0,0,5,3,2,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,9,,,,,,,,,2,,,,,10,2,,,,,,,,2,6,,,,,,2,,,,,,,,2,2,,,,,,1,6,1,3,1,4,5,2,5,5,4,8,5,0.882650
15,2,48,1,1,40,6,0,0,30,0,30,2,4,3,6,1,30,0,4,3,6,1,2,1,2,1,4,1,2,1,5,6,,,,1,6,,,3,45000,,,4,2,9,,,,,,,,,2,,,,,2,2,,,,,,,,2,1,,,,,,2,,,,,,,,2,3,,,,,,1,4,3,4,1,4,2,4,5,2,4,3,5,0.924078
15,2,48,1,2,0,2,0,1,0,2,0,4,3,2,1,2,9,0,5,7,3,5,3,1,2,5,2,7,6,5,4,6,,,,98,,,,0,0,,,5,4,9,,,,,,,,,1,1,,1,1,,2,,,,,,,,4,6,,,,,,2,,,,,,,,4,1,5,,,,,1,3,3,4,1,2,2,5,5,3,4,11,3,0.830042
15,2,48,1,2,0,3,0,0,0,0,0,5,3,1,10,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,9,,,,,,,,,2,,,,,11,2,,,,,,,,4,5,,,,,,2,,,,,,,,4,2,5,,,,,5,6,3,1,2,1,2,5,5,4,4,8,3,0.924078
15,2,48,2,2,0,3,0,0,0,0,10,3,3,4,10,2,2,0,4,8,4,2,8,1,4,1,6,1,7,1,11,9,,,,1,6,,,3,24000,,,3,3,,,,,,,,,,2,,,,,2,2,,,,,,,,1,4,,,,,,2,,,,,,,,2,2,,,,,,1,5,3,2,2,4,1,3,5,2,4,13,4,0.706999
15,2,48,2,3,0,3,0,0,5,0,0,3,4,1,2,2,1,0,5,4,8,2,7,1,2,5,7,1,7,1,11,,,,,98,,,,0,0,,,4,4,9,,,,,,,,,2,,,,,2,2,,,,,,,,4,6,,,,,,2,,,,,,,,4,2,5,,,,,4,1,3,1,3,1,2,4,5,4,4,11,3,0.719741
15,2,48,2,6,0,9,0,1,0,1,0,1,4,2,8,2,10,0,3,5,3,8,4,1,,2,5,6,,1,8,,,,,3,,,,10,120000,,,4,2,,,,,,,,,,2,,,,,2,2,,,,,,,,3,2,,,,,,2,,,,,,,,2,3,,,,,,4,6,3,4,1,4,2,1,2,2,4,13,2,0.676843
15,2,48,2,8,0,4,0,1,0,1,0,4,3,3,2,1,5,0,3,5,7,7,2,1,3,5,1,1,7,2,1,6,,,,6,1,,,1,15000,,,4,2,,,,,,,,,,1,1,1,,1,,2,,,,,,,,5,1,,,,,,2,,,,,,,,2,5,,,,,,4,2,3,4,2,3,1,2,5,2,5,13,3,0.719741
15,2,49,1,1,0,1,0,0,0,0,0,5,3,1,10,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,9,,,,,,,,,2,,,,,2,2,,,,,,,,5,6,,,,,,2,,,,,,,,5,2,,,,,,1,6,2,3,1,2,1,2,4,4,3,9,3,0.867024
15,2,49,1,1,0,3,0,0,0,0,0,5,5,1,10,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,9,,,,,,,,,2,,,,,2,2,,,,,,,,4,6,,,,,,2,,,,,,,,5,5,,,,,,2,3,1,4,1,4,1,2,5,2,4,7,3,0.882650
15,2,49,1,2,0,3,0,0,0,0,0,5,3,2,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,9,,,,,,,,,2,,,,,2,2,,,,,,,,2,5,,,,,,2,,,,,,,,2,2,,,,,,4,6,1,2,2,3,1,2,5,3,4,7,5,0.830042
15,2,49,1,2,0,6,0,0,0,0,0,5,3,1,4,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,9,,,,,,,,,2,,,,,2,2,,,,,,,,5,6,,,,,,2,,,,,,,,5,8,,,,,,1,6,2,3,1,2,1,2,4,4,4,7,4,0.882650
15,2,49,1,4,0,5,0,1,0,1,0,4,3,3,1,2,2,0,4,3,6,9,5,1,7,6,2,1,7,3,5,11,,,,6,4,,,3,40000,,,4,4,9,,,,,,,,,2,,,,,2,2,,,,,,,,2,5,,,,,,2,,,,,,,,2,4,,,,,,6,4,3,4,3,1,2,5,4,2,6,7,6,0.924078
15,2,49,2,2,0,3,0,0,10,0,10,3,5,7,10,3,1,5,4,4,8,2,4,1,3,5,6,6,7,11,1,7,4,2,13,98,,98,,0,0,0,0,3,1,,,,,,,,,,2,,,,,2,2,,,,,,,,5,5,,,,,,2,,,,,,,,5,5,,,,,,1,2,1,2,1,3,1,2,4,3,4,13,4,0.719741
15,2,49,2,2,0,5,0,0,30,0,30,2,3,2,1,3,9,13,4,3,4,7,2,1,3,4,8,3,7,4,1,3,4,1,3,1,5,98,,5,90000,0,0,3,1,9,,,,,,,,,1,1,,1,1,,1,1,,,,,,1,,2,5,6,,,,2,,,,,,,,5,4,,,,,,2,3,2,3,2,3,1,2,5,1,6,4,7,0.753523
15,2,49,2,2,0,8,0,0,30,0,30,3,3,1,4,3,30,0,5,1,,1,4,1,,1,2,2,,11,13,1,,,,5,7,,,4,80000,,,4,4,9,,,,,,,,,2,,,,,2,2,,,,,,,,5,3,,,,,,2,,,,,,,,1,4,,,,,,3,1,3,4,3,2,2,5,5,3,5,3,3,0.719741
15,2,49,2,3,0,8,0,3,0,0,0,1,4,8,1,2,6,0,4,3,8,2,7,1,3,1,2,1,7,1,3,,,,,1,6,,,6,80000,,,3,2,9,,,,,,,,,2,,,,,2,2,,,,,,,,2,1,,,,,,2,,,,,,,,2,1,,,,,,1,4,2,4,2,4,5,2,5,1,4,3,3,0.753523
15,2,49,2,6,0,6,0,0,0,0,10,4,3,1,2,1,1,0,4,1,7,2,6,1,3,1,2,1,2,1,7,9,,,,1,,,,1,10000,,,5,5,,,,,,,,,,2,,,,,3,2,,,,,,,,1,2,,,,,,2,,,,,,,,4,3,,,,,,1,2,1,2,1,2,1,3,2,2,4,13,4,0.719741
15,2,50,1,1,0,1,0,0,0,0,0,5,3,3,10,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,9,,,,,,,,,2,,,,,10,2,,,,,,,,2,4,,,,,,2,,,,,,,,1,2,,,,,,4,6,3,4,3,1,2,1,5,1,5,11,3,0.766579
15,2,50,1,2,0,3,0,1,0,3,0,4,3,11,1,2,22,0,5,4,3,2,8,2,1,2,5,4,1,11,9,13,,,,3,,,,2,30000,,,5,5,9,,,,,,,,,2,,,,,11,2,,,,,,,,4,3,5,,,,,2,,,,,,,,4,1,5,,,,,3,1,1,4,1,2,2,3,2,1,4,8,3,0.817024
15,2,50,1,2,0,5,0,0,0,0,10,4,5,1,10,2,2,0,4,1,4,7,2,1,3,3,1,1,2,1,11,13,,,,1,6,,,3,50000,,,2,2,9,,,,,,,,,2,,,,,1,2,,,,,,,,2,4,,,,,,2,,,,,,,,2,2,,,,,,1,2,1,3,3,1,3,2,3,2,5,9,1,0.817024
15,2,50,1,8,0,10,0,1,0,1,0,4,3,10,1,2,10,0,3,3,4,7,3,1,7,1,2,1,2,13,8,6,,,,1,3,,,4,46000,,,4,2,,,,,,,,,,2,,,,,2,2,,,,,,,,1,1,,,,,,2,,,,,,,,1,5,,,,,,6,3,1,2,4,2,2,4,5,2,5,14,1,0.733882
15,2,50,2,2,0,2,0,0,0,0,30,4,2,4,10,2,3,0,4,4,5,7,8,1,6,5,4,5,2,1,3,11,,,,5,7,,,3,60000,,,3,2,9,,,,,,,,,2,,,,,2,2,,,,,,,,5,5,,,,,,2,,,,,,,,5,2,,,,,,1,6,2,3,1,2,1,2,3,2,4,3,4,0.701168
15,2,50,2,2,0,2,0,1,0,0,0,4,5,1,12,2,9,0,4,1,4,7,2,1,3,3,1,1,2,1,11,13,,,,1,6,,,3,50000,,,5,5,,,,,,,,,,2,,,,,10,2,,,,,,,,1,1,,,,,,2,,,,,,,,1,2,,,,,,1,2,3,4,1,2,4,5,2,2,4,13,2,0.713805
15,2,50,2,2,30,3,30,0,0,0,0,5,4,1,5,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,2,,,,,2,2,,,,,,,,5,6,,,,,,2,,,,,,,,3,5,,,,,,1,4,1,4,2,3,5,1,5,3,4,13,3,0.747308
15,2,50,2,4,0,5,0,0,0,0,0,5,3,3,1,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,9,,,,,,,,,2,,,,,10,2,,,,,,,,2,2,,,,,,2,,,,,,,,2,1,,,,,,1,2,2,3,2,4,1,2,5,1,4,11,3,0.713805
15,2,51,1,1,0,1,0,0,0,0,0,5,3,1,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,9,,,,,,,,,2,,,,,10,2,,,,,,,,1,6,,,,,,2,,,,,,,,1,2,,,,,,2,3,1,3,2,3,2,5,5,5,4,11,3,0.733882
15,2,51,1,1,0,3,0,0,0,0,10,4,5,1,10,2,1,0,4,3,4,4,5,1,2,1,3,7,1,11,4,5,,,,1,7,,,1,15000,,,3,2,9,,,,,,,,,2,,,,,2,2,,,,,,,,4,6,,,,,,2,,,,,,,,5,2,5,,,,,1,2,1,3,2,4,1,2,5,1,4,3,3,0.780395
15,2,51,1,3,0,7,0,0,30,0,30,2,2,1,,2,7,0,2,1,5,1,8,1,3,1,5,1,7,2,6,13,,,,1,2,,,3,50000,,,2,1,1,4,,,,,,,,1,1,,4,1,,2,,,,,,,,3,2,,,,,,2,,,,,,,,1,1,,,,,,1,2,3,4,2,3,1,2,3,3,4,11,4,0.780395
15,2,51,1,3,0,8,0,0,0,0,0,5,5,1,10,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,9,,,,,,,,,2,,,,,10,2,,,,,,,,1,3,,,,,,2,,,,,,,,1,8,,,,,,1,2,1,2,1,2,4,2,4,3,6,1,6,0.817024
15,2,51,1,3,30,5,30,0,0,0,0,5,3,5,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,2,,,,,10,2,,,,,,,,1,5,,,,,,2,,,,,,,,1,2,,,,,,6,1,2,4,1,2,2,1,5,5,3,14,1,0.780395
15,2,51,2,3,0,5,0,0,0,0,10,4,5,5,8,2,2,0,4,7,4,11,2,1,7,5,6,1,7,11,1,12,,,,98,,,,0,0,,,4,2,,,,,,,,,,2,,,,,10,2,,,,,,,,1,5,,,,,,2,,,,,,,,1,8,,,,,,1,6,2,1,3,1,2,5,5,2,4,13,4,0.713805
15,2,51,2,4,0,4,0,2,0,1,0,4,5,1,10,3,9,0,3,7,8,11,2,1,,5,,7,2,1,11,9,,,,3,,,,2,30000,,,5,5,,,,,,,,,,2,,,,,2,2,,,,,,,,1,3,,,,,,2,,,,,,,,1,1,,,,,,4,1,1,3,1,3,1,2,5,5,4,13,4,0.713805
15,2,52,1,4,0,4,0,0,0,0,0,5,3,4,10,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,9,,,,,,,,,2,,,,,2,2,,,,,,,,1,1,,,,,,2,,,,,,,,1,2,,,,,,1,4,3,1,3,1,2,4,5,5,2,6,3,0.780395
15,2,52,1,5,0,5,0,0,0,0,0,5,3,1,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,9,,,,,,,,,2,,,,,10,2,,,,,,,,1,3,5,,,,,2,,,,,,,,1,2,5,,,,,2,6,1,3,1,2,2,4,5,3,4,7,3,0.817024
15,2,52,2,1,0,4,0,0,10,0,10,3,3,1,10,2,20,0,4,6,4,7,2,1,7,1,6,1,2,1,3,11,,,,1,3,,,1,15000,,,4,4,9,,,,,,,,,2,,,,,2,2,,,,,,,,2,1,,,,,,2,,,,,,,,2,3,,,,,,1,3,1,2,1,2,3,4,5,2,5,11,3,0.747308
15,2,52,2,2,0,2,0,0,0,0,5,4,3,10,2,2,1,0,4,8,4,7,3,1,,5,8,1,6,1,11,9,,,,3,1,,,1,12000,,,3,4,,,,,,,,,,1,1,8,,5,,2,,,,,,,,4,3,5,,,,,2,,,,,,,,4,5,,,,,,1,4,3,1,2,1,3,4,5,2,4,13,3,0.747308
15,2,52,2,3,0,10,0,0,0,0,30,3,3,1,10,1,7,0,2,3,4,2,8,1,8,5,2,2,6,9,10,1,,,,3,5,,,7,70000,,,3,1,,,,,,,,,,2,,,,,2,2,,,,,,,,5,5,,,,,,2,,,,,,,,5,2,,,,,,1,2,1,2,1,2,1,2,4,3,4,13,4,0.671261
15,2,52,2,4,0,5,0,0,0,0,0,5,3,1,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,9,,,,,,,,,2,,,,,11,2,,,,,,,,1,6,,,,,,2,,,,,,,,1,2,5,,,,,1,2,3,2,1,3,5,2,5,5,4,11,3,0.671261
15,2,52,2,4,0,5,0,0,0,0,0,5,5,1,8,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,9,,,,,,,,,2,,,,,10,2,,,,,,,,1,2,,,,,,2,,,,,,,,1,8,,,,,,2,6,1,2,4,3,2,5,5,2,4,11,4,0.701168
15,2,52,2,5,0,2,0,0,10,0,0,4,4,1,2,2,1,0,4,3,4,2,3,1,8,1,2,1,7,1,3,11,,,,1,6,,,1,15000,,,4,3,,,,,,,,,,2,,,,,2,2,,,,,,,,2,1,,,,,,2,,,,,,,,2,5,,,,,,6,4,1,3,3,2,1,2,5,2,3,13,3,0.701168
15,2,53,1,1,0,2,0,0,20,0,20,3,3,1,10,2,5,0,4,4,1,2,7,1,3,1,3,1,7,3,4,6,,,,1,6,,,10,130000,,,3,1,9,,,,,,,,,1,1,,5,1,,2,,,,,,,,2,4,,,,,,1,1,,,,,,2,,1,,,,,,4,1,2,3,1,3,1,2,5,2,7,2,1,0.766579
15,2,53,1,1,30,2,0,0,30,0,0,2,3,1,2,2,3,0,5,4,3,7,2,5,4,1,5,1,,1,7,3,,,,5,1,,,5,65000,,,5,5,9,,,,,,,,,2,,,,,2,2,,,,,,,,4,4,5,,,,,2,,,,,,,,4,2,5,,,,,1,2,1,2,1,3,2,4,5,4,4,8,3,0.817024
15,2,53,1,3,0,5,0,0,0,0,0,5,5,1,4,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,9,,,,,,,,,2,,,,,3,2,,,,,,,,2,1,,,,,,2,,,,,,,,4,3,,,,,,1,2,1,3,1,2,1,2,5,1,5,11,4,0.733882
15,2,53,2,3,0,0,0,1,30,0,0,1,3,1,6,1,31,0,4,4,9,10,7,2,1,3,8,3,1,1,10,8,,,,3,5,,,4,64000,,,2,1,9,,,,,,,,,1,1,4,,1,,2,,,,,,,,2,1,4,5,,,,2,,,,,,,,2,2,5,,,,,2,1,3,2,3,2,2,3,5,1,4,11,4,0.713805
15,2,54,1,2,0,6,0,0,0,0,0,5,3,1,10,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,9,,,,,,,,,2,,,,,2,2,,,,,,,,5,6,,,,,,2,,,,,,,,5,2,,,,,,1,2,2,3,1,2,1,2,5,4,4,7,4,0.766579
15,2,54,2,1,0,3,0,0,0,0,0,5,3,5,4,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,9,,,,,,,,,2,,,,,10,2,,,,,,,,3,4,,,,,,2,,,,,,,,1,5,,,,,,1,2,1,3,1,2,3,4,5,5,2,6,3,0.713805
15,2,55,1,4,0,6,0,0,0,0,30,3,3,3,2,2,1,3,4,3,4,7,9,1,2,3,8,1,6,5,3,7,2,6,10,1,6,98,,1,10000,0,0,4,1,2,7,,,,,,,,2,,,,,3,2,,,,,,,,2,5,,,,,,2,,,,,,,,5,5,,,,,,5,6,3,4,4,1,4,5,5,2,3,7,4,0.817024
15,2,55,2,1,0,3,0,0,0,0,0,5,5,1,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,9,,,,,,,,,1,1,,5,3,,2,,,,,,,,5,2,,,,,,2,,,,,,,,5,5,,,,,,5,6,3,1,2,4,2,5,5,2,4,11,5,0.671261
15,2,56,1,6,0,6,0,0,0,1,0,4,5,1,10,2,40,0,5,4,1,2,5,1,,5,6,2,1,1,5,3,,,,98,,,,0,0,,,5,3,9,,,,,,,,,2,,,,,10,2,,,,,,,,1,3,,,,,,2,,,,,,,,1,5,,,,,,5,4,3,4,1,2,3,5,5,2,4,9,3,0.780395
15,2,56,2,3,0,2,0,0,0,0,0,5,3,1,4,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,9,,,,,,,,,2,,,,,2,2,,,,,,,,2,6,,,,,,2,,,,,,,,5,5,,,,,,4,1,1,2,1,2,1,5,5,1,4,11,2,0.671261
15,2,56,2,3,0,5,0,0,0,0,0,5,3,3,10,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,9,,,,,,,,,2,,,,,2,2,,,,,,,,1,4,,,,,,2,,,,,,,,5,2,,,,,,1,2,1,2,1,3,2,4,4,2,4,11,3,0.671261
15,2,57,1,2,0,3,0,0,0,0,0,5,3,1,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,9,,,,,,,,,2,,,,,2,2,,,,,,,,5,6,,,,,,2,,,,,,,,4,2,,,,,,1,4,1,3,2,3,2,5,5,4,5,11,3,0.780395
15,2,57,1,3,0,5,0,0,0,0,10,4,3,2,10,2,0,1,5,1,4,1,7,2,1,6,7,2,4,,,,4,8,11,,,98,,,,0,0,4,1,9,,,,,,,,,2,,,,,2,2,,,,,,,,5,5,,,,,,2,,,,,,,,2,5,,,,,,3,1,2,3,1,3,1,2,5,2,4,7,3,0.733882
15,2,57,2,1,0,3,0,0,0,0,0,5,3,4,8,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,9,,,,,,,,,2,,,,,2,2,,,,,,,,1,5,,,,,,2,,,,,,,,1,2,,,,,,1,4,4,1,1,2,1,2,5,5,2,6,2,0.713805
15,2,57,2,2,0,2,0,0,0,0,0,5,3,8,10,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,9,,,,,,,,,2,,,,,2,2,,,,,,,,5,5,,,,,,2,,,,,,,,4,2,5,,,,,1,4,1,2,1,3,2,5,5,4,4,4,4,0.747308
15,2,57,2,3,0,3,0,0,0,0,10,4,3,8,10,1,1,0,4,4,8,7,8,1,7,4,2,2,7,1,3,9,,,,2,1,,,5,50000,,,3,1,9,,,,,,,,,2,,,,,7,2,,,,,,,,5,5,,,,,,2,,,,,,,,2,2,,,,,,1,6,1,4,2,3,2,5,2,2,4,11,3,0.671261
15,2,57,2,4,0,5,0,0,0,0,0,5,3,1,10,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,9,,,,,,,,,2,,,,,10,2,,,,,,,,4,5,6,,,,,2,,,,,,,,4,1,2,,,,,3,1,1,3,1,3,2,4,5,2,3,8,2,0.747308
15,2,58,1,2,0,3,0,0,0,0,0,5,3,3,5,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,2,,,,,10,2,,,,,,,,1,6,,,,,,2,,,,,,,,1,2,5,,,,,2,4,1,3,2,1,2,5,5,5,2,14,1,0.780395
15,2,58,1,2,0,4,0,0,0,0,0,5,3,4,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,9,,,,,,,,,2,,,,,10,2,,,,,,,,4,5,,,,,,2,,,,,,,,1,2,,,,,,4,5,2,3,1,2,2,3,5,5,4,11,3,0.780395
15,2,58,1,8,0,8,0,1,0,1,0,1,3,1,10,2,20,0,3,4,1,9,2,1,3,1,8,1,7,2,13,1,,,,1,4,,,20,500000,,,3,2,9,,,,,,,,,2,,,,,3,2,,,,,,,,5,6,,,,,,2,,,,,,,,5,8,,,,,,4,1,3,1,2,1,1,2,4,2,6,2,2,0.780395
15,2,58,2,5,0,8,0,0,0,0,0,5,3,1,10,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,9,,,,,,,,,2,,,,,10,2,,,,,,,,2,6,,,,,,2,,,,,,,,5,5,,,,,,3,4,1,2,2,4,2,4,2,4,3,4,1,0.747308
15,2,59,1,3,0,3,0,0,0,0,0,5,3,1,4,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,9,,,,,,,,,2,,,,,2,2,,,,,,,,1,5,,,,,,2,,,,,,,,1,3,,,,,,1,4,4,1,1,3,1,2,5,5,3,6,3,0.780395
15,2,59,1,3,0,6,0,0,0,0,0,5,5,1,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,9,,,,,,,,,2,,,,,2,2,,,,,,,,1,2,,,,,,2,,,,,,,,1,5,,,,,,1,2,1,3,1,3,1,2,3,3,4,11,3,0.733882
15,2,59,1,3,0,6,0,1,0,1,40,3,3,10,4,2,34,0,4,3,4,7,2,1,2,2,1,6,3,5,4,13,,,,2,5,,,10,130000,,,3,2,9,,,,,,,,,1,1,2,,1,,2,,,,,,,,2,4,,,,,,2,,,,,,,,2,5,,,,,,3,1,3,1,1,3,2,4,5,2,3,4,4,0.780395
15,2,59,2,2,0,3,0,1,0,0,0,4,3,1,10,4,10,0,3,4,8,9,7,3,1,8,10,7,8,1,2,14,,,,1,8,,,5,40000,,,5,4,9,,,,,,,,,2,,,,,10,2,,,,,,,,1,3,5,,,,,2,,,,,,,,1,2,5,,,,,4,2,1,2,1,2,2,5,5,3,2,11,2,0.713805
15,2,59,2,5,0,8,0,0,0,0,0,5,4,1,10,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,,,,2,,,,,10,2,,,,,,,,5,6,,,,,,2,,,,,,,,1,2,5,,,,,2,1,2,3,3,4,2,4,5,2,3,13,3,0.713805
15,2,59,2,6,0,6,0,0,0,0,0,5,3,4,5,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,2,,,,,2,2,,,,,,,,1,6,,,,,,2,,,,,,,,1,2,,,,,,4,1,1,3,3,1,5,2,5,5,1,13,2,0.713805
15,2,60,1,1,0,2,0,0,0,0,0,5,3,10,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,9,,,,,,,,,2,,,,,2,2,,,,,,,,5,5,,,,,,2,,,,,,,,5,8,,,,,,4,6,1,2,1,2,1,2,5,5,3,9,4,0.619307
15,2,60,1,3,0,4,0,0,0,0,0,5,3,1,10,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,9,,,,,,,,,2,,,,,10,2,,,,,,,,1,6,,,,,,2,,,,,,,,1,8,,,,,,1,2,1,3,2,3,1,2,3,2,4,11,2,0.582395
15,2,60,1,3,0,4,0,0,30,0,30,2,1,1,10,1,15,0,3,1,4,2,7,1,5,1,2,1,3,4,5,13,,,,1,6,,,15,300000,,,2,2,1,,,,,,,,,1,1,5,,2,,1,1,,,,,,2,,1,,,,,,2,,,,,,,,5,4,5,,,,,1,4,1,4,1,2,3,5,2,2,8,2,7,0.619307
15,2,60,1,4,0,4,0,1,30,1,30,3,4,1,2,1,40,0,3,3,4,7,2,1,2,2,7,1,3,1,7,3,,,,6,5,,,15,320000,,,2,3,9,,,,,,,,,1,1,,3,1,,2,,,,,,,,2,5,,,,,,2,,,,,,,,2,5,,,,,,2,3,1,2,1,2,3,4,1,3,4,9,4,0.648375
15,2,60,1,5,0,8,0,1,0,0,0,2,2,1,8,2,10,0,4,4,6,7,5,1,5,1,2,1,7,5,13,4,,,,1,,,,3,45000,,,4,4,9,,,,,,,,,1,1,,5,1,,2,,,,,,,,2,3,,,,,,2,,,,,,,,3,3,,,,,,1,3,1,4,3,1,2,1,4,1,6,11,2,0.619307
15,2,60,2,1,0,10,0,0,0,0,0,5,3,1,10,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,9,,,,,,,,,2,,,,,2,2,,,,,,,,5,5,,,,,,2,,,,,,,,5,2,,,,,,1,6,2,3,1,3,1,2,5,3,4,11,4,0.621855
15,2,60,2,4,0,8,0,0,10,0,30,1,3,1,8,2,12,0,4,3,4,5,7,1,3,1,2,1,2,3,4,11,,,,1,6,,,2,30000,,,4,3,,,,,,,,,,2,,,,,2,2,,,,,,,,5,4,,,,,,2,,,,,,,,2,3,,,,,,1,3,1,2,1,2,2,4,4,2,4,13,3,0.662776
15,2,60,2,4,0,8,0,2,0,0,0,4,3,1,3,1,9,0,3,3,7,2,8,1,,7,5,2,1,11,1,12,,,,5,4,,,1,30000,,,5,2,,,,,,,,,,2,,,,,10,2,,,,,,,,5,6,,,,,,2,,,,,,,,5,8,,,,,,1,2,1,2,1,2,1,2,5,3,3,13,1,0.633063
15,2,60,2,5,0,2,0,2,0,1,0,1,3,1,3,2,30,0,3,4,1,7,11,2,3,1,2,1,2,13,4,3,,,,1,4,,,5,80000,,,2,3,9,,,,,,,,,1,1,,5,1,,1,3,,,,,,3,,3,,,,,,2,,,,,,,,2,5,,,,,,1,6,1,4,1,4,1,2,5,1,4,11,6,0.662776
15,2,61,2,1,0,4,0,0,0,0,0,5,3,1,10,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,2,,,,,10,2,,,,,,,,5,5,,,,,,2,,,,,,,,5,8,,,,,,4,6,3,4,1,2,2,3,5,2,4,13,2,0.595331
15,2,61,2,2,0,3,0,0,0,0,0,5,3,1,8,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,2,,,,,10,2,,,,,,,,1,5,,,,,,2,,,,,,,,1,5,,,,,,1,2,1,3,2,3,2,3,3,3,3,13,2,0.595331
